O1CN010b3WiN1kfgSvFf9pr_!!2130714711-0-lubanu-s.jpg_400x400.jpg	2.832324504852295,1.0656307935714722,1.440185546875,1.9756699800491333,2.4477434158325195,2.0469298362731934,3.368997573852539,6.570193290710449,5.210731506347656,4.116049766540527
O1CN010cYLaB1NtCzYVWMZd_!!2241881627.jpg_400x400.jpg	6.2188544273376465,7.369485855102539,3.967068672180176,2.3162896633148193,1.5199803113937378,3.2499165534973145,5.419736862182617,2.408778190612793,2.3377792835235596,3.0707383155822754
O1CN010dOyuz2HQ0Dvc84J0_!!2206472569144.jpg_400x400.jpg	3.7029340267181396,0.6205788850784302,1.4400300979614258,1.6637632846832275,2.976588249206543,3.8408830165863037,5.756439208984375,1.9227973222732544,3.8376450538635254,1.3541938066482544
O1CN010eVo052CCCCuIXPVn_!!3325938437-0-lubanu-s.jpg_400x400.jpg	2.3807930946350098,1.8350298404693604,1.8682241439819336,1.3522592782974243,2.7510247230529785,2.850391149520874,4.919979572296143,3.768706798553467,2.356809616088867,1.152485728263855
O1CN010fg4Y41NO445zEnMM_!!2253481559.jpg_400x400.jpg	3.527163505554199,0.01902972161769867,0.6635876893997192,2.2735321521759033,1.7526588439941406,2.707068920135498,5.4202423095703125,2.5304431915283203,3.1529641151428223,4.007963180541992
O1CN010g3dzu1xSU2gRydYK_!!2201298106442.jpg_400x400.jpg	6.316165924072266,3.2213521003723145,2.12520694732666,4.1133952140808105,1.2788763046264648,5.076446056365967,4.587011337280273,7.374397277832031,5.091788291931152,0.2949436902999878
O1CN010jPAH41QMBHYrhaAy_!!674061961.jpg_400x400.jpg	3.622307538986206,0.3723236322402954,-0.17388807237148285,-0.4637182950973511,0.5768251419067383,1.8038887977600098,3.8327927589416504,5.894637584686279,6.042321681976318,6.413194179534912
O1CN010ja9K11oeXwEb4ItE_!!648865250-0-lubanu-s.jpg_400x400.jpg	5.118393421173096,1.4366121292114258,1.2590053081512451,3.4478588104248047,4.936628341674805,6.755427360534668,7.393397331237793,3.5673062801361084,2.830136299133301,2.3962883949279785
O1CN010joPlg1N3udotphBR_!!3550661515-0-lubanu-s.jpg_400x400.jpg	5.73099422454834,2.5247862339019775,2.868530511856079,3.023257255554199,4.509576320648193,2.280980110168457,5.306995391845703,4.205219268798828,2.3090944290161133,2.2049498558044434
O1CN010l45vQ1yXoHHyWsyt_!!3081326589-0-lubanu-s.jpg_400x400.jpg	3.0478601455688477,4.099547386169434,1.9054323434829712,0.5799867510795593,2.0416040420532227,3.2577109336853027,3.361562728881836,3.7899374961853027,2.715325355529785,0.5290787816047668
O1CN010layBf1GPiAQMtMXJ_!!3321320615.jpg_400x400.jpg	1.3514690399169922,1.9850752353668213,3.2558560371398926,2.793917655944824,5.319222927093506,3.376452922821045,5.273188591003418,6.0786213874816895,4.961452007293701,1.840842604637146
O1CN010ldT2K1f7GcT0fGic_!!3511723959-0-lubanu-s.jpg_400x400.jpg	10.267358779907227,4.079503536224365,3.1553103923797607,3.7818491458892822,4.265301704406738,4.793659210205078,7.368097305297852,2.7907228469848633,2.5300464630126953,1.5792957544326782
O1CN010n9rbk1ckhsmdRDB4_!!2894813639-0-lubanu-s.jpg_400x400.jpg	1.2074778079986572,3.1548140048980713,2.2946934700012207,0.8602703809738159,3.554729461669922,2.0623137950897217,2.7312893867492676,3.9635379314422607,2.5523502826690674,2.545534610748291
O1CN010puaPP2BjneCubMmA_!!2684288375.jpg_400x400.jpg	3.050569772720337,7.64799690246582,3.404601812362671,3.6365296840667725,2.6081924438476562,3.667346239089966,5.736052513122559,1.7602436542510986,2.0239691734313965,2.6770715713500977
O1CN010qgFme20QbAqQV2dR_!!2970396844.jpg_400x400.jpg	4.857386589050293,-0.6350364089012146,2.3930282592773438,2.137857437133789,2.978891372680664,2.536276340484619,6.101320743560791,3.258427858352661,4.037878036499023,2.4877662658691406
O1CN010rbAvB28h6Mf9eCo8_!!4126467963.jpg_400x400.jpg	3.448483943939209,3.603116512298584,2.1216254234313965,2.3671700954437256,2.9262101650238037,3.7446606159210205,4.692299842834473,2.3586184978485107,3.3418209552764893,3.876120090484619
